"","ID","Gender","Other.Gender","Age","Nationality","College","Year.of.Study","Level.of.Study","Subject","Specialist","Voluntary","Statistics","Mathematics","Highest.Qual","Other.Qual","Qual.Grade","Anxiety.Level","Anxiety.Aspects","Anxiety.Effects","Effects.Aspects","Anxiety.Prevent","Prevent.Aspects","SE1","SE2","SE3","SE4","SE5","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Course","Time","Reduce.Anxiety","End.Type","Effect.Had","SE.mean","SE","SA.mean","SA","SA.Subscale1.mean","SA.Subscale1","SA.Subscale2.mean","SA.Subscale2","SA.Subscale3.mean","SA.Subscale3","Exam","GPA","Grade"
"1",115,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Finance and Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"I don&#039;t have much experience. A lot of the content is very difficult to understand in the fast paced lectures and I need to make sure I give myself enough time to understand the material in my own time.","Decrease","I hope from learning more I&#039;ll be more confident in statistics.","No",NA,3,3,3,4,4,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,"Course 1","Start",NA,NA,NA,3.4,17,1.217391304,28,1.375,11,1.181818182,13,1,4,87.5,21,"A2"
"2",240,"Male",NA,"18","Other European","STEM","Year 1","Pre-honours","Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"Keeping on top of the work and making sure I&#039;m up to speed.","Dont know",NA,"No",NA,3,2,3,3,3,2,1,1,1,2,1,2,4,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,"Course 1","Start",NA,NA,NA,2.8,14,1.391304348,32,1.875,15,1.181818182,13,1,4,63,14,"C1"
"3",109.5,"Male",NA,"19","Other European","STEM","Year 1","Pre-honours","Mathematics and Statistics","Specialist","Voluntary","1","1","Higher_School & University",NA,"A*",1,NA,"Decrease","Exercises and revision","No",NA,3,3,4,3,3,2,2,3,3,2,1,2,3,1,3,1,2,2,1,2,3,1,1,2,2,1,1,1,"Course 1","Start",NA,NA,NA,3.2,16,1.826086957,42,2.125,17,1.454545455,16,2.25,9,82,20,"A3"
"4",293,"Female",NA,"19","Other","Non-STEM","Year 1","Pre-honours","Literature, History and Statistics","Specialist","Voluntary","1","0","Higher_School & University",NA,NA,4,"For the most part it doesn&#039;t make sense on a basic level and it makes me anxious because the class moves so fast and I won&#039;t be able to keep up","Increase","This course is not exactly an introductory class and I know pretty much nothing about statistics","Yes","It makes it hard to concentrate during the lecture because Im constantly worried about not passing the course",2,3,3,3,3,4,2,3,4,3,3,3,5,2,5,2,4,4,2,4,3,3,3,3,3,3,2,3,"Course 1","Start",NA,NA,NA,2.8,14,3.173913043,73,3.875,31,2.727272727,30,3,12,48.5,12,"C3"
"5",215.5,"Female",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"never done it before","Decrease",NA,"No",NA,3,3,3,3,3,3,2,1,2,3,2,3,3,2,2,1,3,2,3,1,1,1,2,1,2,1,1,1,"Course 1","Start",NA,NA,NA,3,15,1.869565217,43,1.875,15,2.181818182,24,1,4,70,18,"A5"
"6",160,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Biology","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",2,NA,"Decrease","The tutorials will allow me to practice questions which will help grow my confidence in statistics","No",NA,3,3,3,2,3,4,3,4,2,2,2,2,4,1,4,2,3,3,2,4,4,1,1,3,2,1,3,2,"Course 1","Start",NA,NA,NA,2.8,14,2.565217391,59,3.125,25,1.909090909,21,3.25,13,NA,NA,NA
"7",70.5,NA,NA,"18","British/Irish","STEM","Year 1","Pre-honours","Physics and Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"D",5,"Its quite hard","Increase","Worried im far behind","Don't know","all of the above",2,3,3,3,3,4,3,4,2,4,3,2,3,2,1,2,4,4,2,1,4,3,3,4,4,2,2,2,"Course 1","Start",NA,NA,NA,2.8,14,2.826086957,65,2.375,19,2.909090909,32,3.5,14,50,13,"C2"
"8",241,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,NA,"Decrease",NA,"No",NA,3,3,3,3,3,2,2,2,3,2,2,2,4,1,4,3,3,1,1,1,1,1,1,2,1,2,3,1,"Course 1","Start",NA,NA,NA,3,15,1.956521739,45,2.5,20,1.727272727,19,1.5,6,89.5,18,"A5"
"9",83,"Male",NA,"20","Other European","STEM","Year 2","Pre-honours","Computing Science","Non-Specialist","Voluntary","0","0","Higher_School & University","Higher level matura exam (Hungary)","5 (1 fail, 5 exceptional)",5,"I feel anxious about it being dry making the subject hard to learn and memorise.","Decrease","The understanding of the formulae and methods presented to us.","No",NA,3,4,4,4,4,2,1,2,2,1,1,3,3,1,3,1,1,3,2,1,2,1,1,1,2,1,1,1,"Course 1","Start",NA,NA,NA,3.8,19,1.608695652,37,2,16,1.363636364,15,1.5,6,53,11,"D1"
"10",116.5,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Pharmacology","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",4,"Unsure how to approach questions as there are so many formulas that look similar. Finding the course overall very difficult.","Dont know",NA,"Yes","I find it difficult to follow lectures properly as I am still confused about the previous content.",3,3,3,2,2,3,3,2,5,5,4,5,5,1,5,3,5,4,3,5,2,4,3,2,3,3,3,2,"Course 1","Start",NA,NA,NA,2.6,13,3.47826087,80,4.125,33,3.545454545,39,2,8,70.5,19,"A4"
"11",137.5,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"Covering a lot of new stuff at a high level and not knowing what to expect.","Decrease","Learning and hopefully realising that there&#039;s nothing too bad after studying","No",NA,3,4,4,4,4,3,2,1,1,3,2,1,3,1,3,2,2,1,2,3,1,1,2,1,2,1,2,1,"Course 1","Start",NA,NA,NA,3.8,19,1.782608696,41,2.125,17,1.818181818,20,1,4,57,16,"B2"
"12",281,"Male",NA,"21","British/Irish","STEM","Year 1","Pre-honours","Computer science &amp; Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"Upper B",3,"Due to joining late and not studying stats before since early high school years, I have felt  slightly overwhelmed the past week or two trying to catch up.","Decrease","I feel the more  new material that is covered whilst im still behind on where everyone else is raises my anxiety and stress levels substantially. Though as with most subjects after putting in work and effort to understand the material, I feel I will be far less anxious about the subject.","Yes","I have skipped quite a lot of lectures recently due to me being behind. My thinking was there isn&#039;t much point of me sitting through a lecture if I have no clue what is going on, so I&#039;ve been going to the library to study the previous sections myself though this is taking me longer than i thought.",2,3,4,3,3,4,3,4,3,2,2,3,5,2,5,2,3,1,3,5,4,2,2,3,4,3,4,2,"Course 1","Start",NA,NA,NA,3,15,3.086956522,71,3.75,30,2.545454545,28,3.25,13,28,8,"E1"
"13",194.5,"Male",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Maths and Finance","Specialist","Voluntary","0","1","Higher_School & University",NA,"C",3,"Remembering all the formulas","Dont know",NA,"Don't know",NA,3,3,3,2,2,3,3,3,3,3,4,3,3,2,3,4,3,3,3,3,3,4,2,3,3,3,2,3,"Course 1","Start",NA,NA,NA,2.6,13,3,69,2.875,23,3.090909091,34,3,12,70,18,"A5"
"14",267.5,"Male",NA,"19","British/Irish","STEM","Year 1","Pre-honours","Maths &amp; Accountancy","Specialist","Voluntary","0","1","Higher_School & University",NA,NA,1,NA,"No effect",NA,"No",NA,3,2,3,2,2,2,2,4,1,2,1,2,1,1,1,2,1,4,1,1,3,1,1,4,1,1,2,4,"Course 1","Start",NA,NA,NA,2.4,12,1.869565217,43,1.625,13,1.363636364,15,3.75,15,46,12,"C3"
"15",141,"Male",NA,"18","British/Irish","STEM",NA,"Honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"B",1,NA,"Increase","Not knowing what&#039;s going on in lectures","Yes","Not revising",3,4,3,3,4,4,1,3,3,1,1,4,5,1,3,4,3,1,3,2,4,2,1,2,2,1,2,1,"Course 1","Start",NA,NA,NA,3.4,17,2.347826087,54,2.625,21,2.090909091,23,2.5,10,37,9,"D3"
"16",120,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","psychology","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",3,NA,"Increase",NA,"No",NA,3,3,3,3,3,4,3,4,4,3,3,4,5,2,4,3,3,3,3,4,4,3,5,3,3,3,3,3,"Course 1","Start",NA,NA,NA,3,15,3.434782609,79,3.75,30,3.181818182,35,3.5,14,76,15,"B3"
"17",186,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Maths and Stats","Specialist","Voluntary","1","1","Higher_School & University",NA,"B",2,NA,"Increase","It&#039;s a lot of new work that i haven&#039;t seen before","No",NA,3,4,3,3,3,3,1,2,3,2,1,2,3,1,3,2,3,2,2,2,2,1,2,2,2,2,2,2,"Course 1","Start",NA,NA,NA,3.2,16,2.043478261,47,2.5,20,1.727272727,19,2,8,81.5,16,"B2"
"18",242.5,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"I have never done statistics before.","Decrease",NA,"No",NA,3,3,3,3,3,3,2,1,1,2,2,2,3,2,3,1,3,3,2,3,1,1,2,1,2,2,2,1,"Course 1","Start",NA,NA,NA,3,15,1.956521739,45,2.5,20,1.909090909,21,1,4,93.5,22,"A1"
"19",296,"Female",NA,"19","Other","Non-STEM","Year 2","Pre-honours","International student taking gen eds","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"1st yr college",5,"being able to do problems on my own, without help from my notes or tutor","Increase","i really dont know, everything","Yes","i feel like since i&#039;m not understanding well that i&#039;m more likely to pay less attention, but still attend",3,4,3,4,4,5,3,4,3,3,1,2,5,1,5,2,2,2,3,4,4,2,3,3,2,2,4,1,"Course 1","Start",NA,NA,NA,3.6,18,2.869565217,66,3.75,30,2.181818182,24,3,12,48.5,12,"C3"
"20",49,"Female",NA,"20","British/Irish",NA,"Year 1","Pre-honours","maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A*",1,NA,"Dont know",NA,"No",NA,3,2,3,3,3,4,2,1,2,2,2,3,4,1,2,2,2,2,2,3,1,1,1,1,2,1,2,1,"Course 1","Start",NA,NA,NA,2.8,14,1.913043478,44,2.5,20,1.818181818,20,1,4,72.5,16,"B2"
"21",29,"Male",NA,"20","British/Irish","STEM","Year 1","Pre-honours","Anatomy","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",2,"Adapting current skills to a new method of thinking","Decrease","The tutorial sessions for practice applying the skills","No",NA,4,3,4,4,3,2,2,2,2,2,1,1,2,1,2,2,NA,2,2,2,2,1,1,2,1,1,2,2,"Course 1","Start",NA,NA,NA,3.6,18,1.681818182,38.68181818,1.875,15,1.4,15.4,2,8,NA,NA,"CW"
"22",223.5,"Female",NA,"18","British/Irish","STEM","Year 1","Pre-honours","maths and accountancy","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",3,NA,"Increase","speed of going through it","Yes","not revising",2,2,2,3,2,4,1,4,4,3,1,3,5,1,5,2,2,3,1,5,4,1,3,4,3,3,2,1,"Course 1","Start",NA,NA,NA,2.2,11,2.826086957,65,3.875,31,1.909090909,21,3.25,13,81.5,20,"A3"
"23",185,"Female",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",4,NA,"Dont know",NA,"Don't know",NA,2,2,2,2,3,5,4,5,4,4,3,3,5,4,5,4,4,3,5,5,5,2,4,3,3,3,5,3,"Course 1","Start",NA,NA,NA,2.2,11,3.956521739,91,4.375,35,3.636363636,40,4,16,36,9,"D3"
"24",304,"Female",NA,"20","Other",NA,"Year 3","Hounours","Teaching","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"C,C, C-, A",4,"Everything.  I have taken probability before and got an A. This class I have no idea what I am doing.","Dont know","Increase? The fact we are not given practice problems or examples other than the tutorial (which we have to do by ourselves). We are not walked through many problems at all.","Yes","I tried to do my tutorial this week and I panicked. Like crying panicked cause I had no idea what I was doing so I didn&#039;t advance cause I did not know what I was doing and honestly since I did not need to turn it in I felt safer knowing it would (hopefully) be reviewed in tutorial.",2,3,2,2,3,4,3,1,5,3,1,2,4,1,3,1,2,3,3,3,1,1,2,1,2,3,3,1,"Course 1","Start",NA,NA,NA,2.4,12,2.304347826,53,3.5,28,1.909090909,21,1,4,23.5,5,"F1"
"25",251,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Computing Science","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"D",4,"I have done no statistics before","Decrease","as more information is covered and they start to link together","Yes","I may put off revising/reviewing to avoid confronting statistics",4,3,4,2,3,4,4,5,3,3,2,3,4,1,3,4,2,3,4,1,5,4,2,4,2,1,5,3,"Course 1","Start",NA,NA,NA,3.2,16,3.130434783,72,3,24,2.818181818,31,4.25,17,29,8,"E1"
"26",192.5,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,NA,"Dont know",NA,"No",NA,3,3,3,2,3,3,1,2,2,2,1,2,4,1,4,2,1,2,1,3,2,2,2,2,2,1,2,2,"Course 1","Start",NA,NA,NA,2.8,14,2,46,2.625,21,1.545454545,17,2,8,75,15,"B3"
"27",149,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Mathematics and Accounting","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",4,NA,"Increase","The volume of content and the speed it is taught","Don't know",NA,2,3,2,2,3,5,4,5,3,3,4,4,4,1,5,3,4,2,3,5,4,3,3,2,2,2,3,2,"Course 1","Start",NA,NA,NA,2.4,12,3.304347826,76,3.625,29,3.090909091,34,3.25,13,65.5,16,"B2"
"28",142.5,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Maths/Economics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"A lot of unfamiliar course content","Dont know",NA,"No",NA,3,3,4,2,3,3,2,2,1,3,3,3,4,1,4,3,2,3,3,5,2,2,2,3,4,2,2,1,"Course 1","Start",NA,NA,NA,3,15,2.608695652,60,3,24,2.545454545,28,2,8,72.5,14,"C1"
"29",103,"Female",NA,"20","British/Irish","Non-STEM","Year 2","Pre-honours","History","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",3,NA,"Decrease",NA,"Don't know",NA,3,2,3,3,3,3,4,4,4,4,2,3,4,3,4,3,4,4,3,4,4,2,2,4,2,3,4,4,"Course 1","Start",NA,NA,NA,2.8,14,3.391304348,78,3.75,30,2.909090909,32,4,16,53.5,10,"D2"
